address_id,address,city_id
1,47 MySakila Drive,300
2,28 MySQL Boulevard,576
3,23 Workhaven Lane,300
4,1411 Lillydale Drive,576
5,1913 Hanoi Way,463
6,1121 Loja Avenue,449
7,692 Joliet Street,38
8,1566 Inegl Manor,349
9,53 Idfu Parkway,361
10,1795 Santiago de Compostela Way,295
11,900 Santiago de Compostela Parkway,280
12,478 Joliet Way,200
13,613 Korolev Drive,329
14,1531 Sal Drive,162
15,1542 Tarlac Parkway,440
16,808 Bhopal Manor,582
17,270 Amroha Parkway,384
18,770 Bydgoszcz Avenue,120
19,419 Iligan Lane,76
20,360 Toulouse Parkway,495
21,270 Toulon Boulevard,156
22,320 Brest Avenue,252
23,1417 Lancaster Avenue,267
24,1688 Okara Way,327
25,262 A Corua (La Corua) Parkway,525
26,28 Charlotte Amalie Street,443
27,1780 Hino Boulevard,303
28,96 Tafuna Way,128
29,934 San Felipe de Puerto Plata Street,472
30,18 Duisburg Boulevard,121
31,217 Botshabelo Place,138
32,1425 Shikarpur Manor,346
33,786 Aurora Avenue,474
34,1668 Anpolis Street,316
35,33 Gorontalo Way,257
36,176 Mandaluyong Place,239
37,127 Purnea (Purnia) Manor,17
38,61 Tama Street,284
39,391 Callao Drive,544
40,334 Munger (Monghyr) Lane,31
41,1440 Fukuyama Loop,362
42,269 Cam Ranh Parkway,115
43,306 Antofagasta Place,569
44,671 Graz Street,353
45,42 Brindisi Place,586
46,1632 Bislig Avenue,394
47,1447 Imus Way,167
48,1998 Halifax Drive,308
49,1718 Valencia Street,27
50,46 Pjatigorsk Lane,343
51,686 Garland Manor,247
52,909 Garland Manor,367
53,725 Isesaki Place,237
54,115 Hidalgo Parkway,379
55,1135 Izumisano Parkway,171
56,939 Probolinggo Loop,1
57,17 Kabul Boulevard,355
58,1964 Allappuzha (Alleppey) Street,227
59,1697 Kowloon and New Kowloon Loop,49
60,1668 Saint Louis Place,397
61,943 Tokat Street,560
62,1114 Liepaja Street,282
63,1213 Ranchi Parkway,350
64,81 Hodeida Way,231
65,915 Ponce Place,56
66,1717 Guadalajara Lane,441
67,1214 Hanoi Way,306
68,1966 Amroha Avenue,139
69,698 Otsu Street,105
70,1150 Kimchon Manor,321
71,1586 Guaruj Place,579
72,57 Arlington Manor,475
73,1031 Daugavpils Parkway,63
74,1124 Buenaventura Drive,13
75,492 Cam Ranh Street,61
76,89 Allappuzha (Alleppey) Manor,517
77,1947 Poos de Caldas Boulevard,114
78,1206 Dos Quebradas Place,431
79,1551 Rampur Lane,108
80,602 Paarl Street,402
81,1692 Ede Loop,30
82,936 Salzburg Lane,425
83,586 Tete Way,256
84,1888 Kabul Drive,217
85,320 Baiyin Parkway,319
86,927 Baha Blanca Parkway,479
87,929 Tallahassee Loop,497
88,125 Citt del Vaticano Boulevard,40
89,1557 Ktahya Boulevard,88
90,870 Ashqelon Loop,489
91,1740 Portoviejo Avenue,480
92,1942 Ciparay Parkway,113
93,1926 El Alto Avenue,289
94,1952 Chatsworth Drive,332
95,1370 Le Mans Avenue,53
96,984 Effon-Alaiye Avenue,183
97,832 Nakhon Sawan Manor,592
98,152 Kitwe Parkway,82
99,1697 Tanauan Lane,399
100,1308 Arecibo Way,41
101,1599 Plock Drive,534
102,669 Firozabad Loop,12
103,588 Vila Velha Manor,268
104,1913 Kamakura Place,238
105,733 Mandaluyong Place,2
106,659 Vaduz Drive,34
107,1177 Jelets Way,220
108,1386 Yangor Avenue,543
109,454 Nakhon Sawan Boulevard,173
110,1867 San Juan Bautista Tuxtepec Avenue,225
111,1532 Dzerzinsk Way,334
112,1002 Ahmadnagar Manor,213
113,682 Junan Way,273
114,804 Elista Drive,159
115,1378 Alvorada Avenue,102
116,793 Cam Ranh Avenue,292
117,1079 Tel Aviv-Jaffa Boulevard,132
118,442 Rae Bareli Place,148
119,1107 Nakhon Sawan Avenue,365
120,544 Malm Parkway,403
121,1967 Sincelejo Place,176
122,333 Goinia Way,185
123,1987 Coacalco de Berriozbal Loop,476
124,241 Mosul Lane,147
125,211 Chiayi Drive,164
126,1175 Tanauan Way,305
127,117 Boa Vista Way,566
128,848 Tafuna Manor,281
129,569 Baicheng Lane,85
130,1666 Qomsheh Drive,410
131,801 Hagonoy Drive,484
132,1050 Garden Grove Avenue,236
133,1854 Tieli Street,302
134,758 Junan Lane,190
135,1752 So Leopoldo Parkway,345
136,898 Belm Manor,87
137,261 Saint Louis Way,541
138,765 Southampton Drive,421
139,943 Johannesburg Avenue,417
